Entity,Deaths - Neoplasms - Sex: Both - Age: 70+ years (Rate),Deaths - Neoplasms - Sex: Both - Age: 50-69 years (Rate),Deaths - Neoplasms - Sex: Both - Age: 15-49 years (Rate),Deaths - Neoplasms - Sex: Both - Age: 5-14 years (Rate),Deaths - Neoplasms - Sex: Both - Age: Under 5 (Rate)
Switzerland,1214.5976666666663,311.69733333333335,24.552333333333333,2.9513333333333334,3.779666666666666
Syria,580.9166666666666,172.68766666666667,17.729666666666663,6.623666666666665,6.009
Taiwan,1199.6713333333335,347.33833333333337,39.66866666666667,4.082333333333333,5.030333333333332
Tajikistan,778.167,272.8453333333334,27.784666666666666,6.771,6.321666666666668
Tanzania,864.6486666666666,289.8233333333333,21.047666666666668,4.099000000000001,25.020666666666667
Thailand,936.4789999999999,316.1283333333333,39.885999999999996,4.967,4.972666666666666
Timor,667.1610000000002,236.99333333333337,17.59733333333333,5.048333333333333,8.654000000000002
Togo,801.1083333333335,246.62933333333334,19.151333333333334,3.5309999999999997,6.684666666666667
Tokelau,987.9569999999999,301.85533333333325,35.14200000000001,2.935,4.706
Tonga,1273.4049999999997,382.42966666666666,36.22966666666667,3.211333333333334,6.9916666666666645
Trinidad and Tobago,1042.9036666666666,269.5166666666666,29.912000000000003,5.629333333333336,7.716666666666666
Tunisia,676.3779999999998,202.60933333333338,16.892666666666667,3.3316666666666666,3.714666666666666
Turkey,937.0776666666668,314.86366666666675,26.26433333333333,6.555000000000001,10.665666666666668
Turkmenistan,561.2336666666666,269.68066666666664,29.13800000000001,7.430999999999998,8.165666666666663
Tuvalu,995.5119999999998,347.46833333333325,43.31466666666668,4.2876666666666665,5.8466666666666685
Uganda,986.2466666666667,350.2123333333333,23.725,3.446,17.452333333333335
Ukraine,800.3426666666668,490.55866666666657,53.00433333333333,6.7813333333333325,8.766
United Arab Emirates,1324.986,275.32933333333324,21.947666666666667,4.721000000000001,4.1209999999999996
United Kingdom,1589.7496666666661,381.63966666666676,28.351333333333333,3.2106666666666674,3.493666666666667
United States,1367.3699999999997,374.38066666666674,28.66133333333334,3.1363333333333334,3.5443333333333333
United States Virgin Islands,1468.8503333333333,388.4093333333332,39.629000000000005,4.922000000000001,4.1033333333333335
Uruguay,1676.0563333333332,511.0793333333334,40.32633333333333,4.995333333333333,5.808666666666666
Uzbekistan,693.5269999999999,286.69166666666666,30.655333333333324,8.096666666666668,6.294333333333335
Vanuatu,896.2283333333332,291.15099999999995,32.97233333333334,3.720999999999999,4.381333333333333
Venezuela,973.2046666666668,282.6666666666667,26.887666666666668,5.549999999999998,6.067000000000001
Vietnam,803.51,318.68733333333336,25.84333333333333,3.1836666666666664,4.785
